ID	Gene_Name	Process	Cycle		
TIGR01817	nifA	N_fixation	Nitrogen_cycling		
TIGR02938	nifL	N_fixation	Nitrogen_cycling		
TIGR01287	nifH	N_fixation	Nitrogen_cycling		
TIGR01282	nifD	N_fixation	Nitrogen_cycling		
TIGR01286	nifK	N_fixation	Nitrogen_cycling		
TIGR01283	nifE	N_fixation	Nitrogen_cycling		
TIGR01285	nifN	N_fixation	Nitrogen_cycling		
TIGR01290	nifB	N_fixation	Nitrogen_cycling		
TIGR03402	nifS	N_fixation	Nitrogen_cycling		
TIGR02660	nifV	N_fixation	Nitrogen_cycling		
TIGR02933	nifM	N_fixation	Nitrogen_cycling		
TIGR02663	nifX	N_fixation	Nitrogen_cycling		
TIGR01861	ANFD	N_fixation	Nitrogen_cycling		
TIGR02931	anfK	N_fixation	Nitrogen_cycling		
TIGR02929	anfG	N_fixation	Nitrogen_cycling		
TIGR01860	VNFD	N_fixation	Nitrogen_cycling		
TIGR02932	vnfK	N_fixation	Nitrogen_cycling		
PF03892	napB	Nitrate_reduction	Nitrogen_cycling		
TIGR01706	napA	Nitrate_reduction	Nitrogen_cycling		
TIGR01580	narG	Nitrate_reduction	Nitrogen_cycling		
TIGR01660	narH	Nitrate_reduction	Nitrogen_cycling		
TIGR03148	nrfD	Nitrite_reduction	Nitrogen_cycling		
TIGR02374	NirB	DNRA	Nitrogen_cycling		
TIGR02378	NirD	DNRA	Nitrogen_cycling		
TIGR02376	nirK	Nitrite_reduction	Nitrogen_cycling		
TIGR02161	napC	Nitrite_reduction	Nitrogen_cycling		
PF12942	amoA_archaeal	Nitrification	Nitrogen_cycling		
TIGR04392	haoB_bacteria	Nitrification	Nitrogen_cycling		
TIGR00351	narI	Denitrification	Nitrogen_cycling		
TIGR00684	narJ	Denitrification	Nitrogen_cycling		
TIGR04246	nosZ_Sec-dependent	Denitrification	Nitrogen_cycling		
TIGR04244	nosZ_Tat-dependent	Denitrification	Nitrogen_cycling		
TIGR00886	narK	Denitrification	Nitrogen_cycling		
TIGR03152	nrfA	DNRA	Nitrogen_cycling		
PF03916	nrfD	DNRA	Nitrogen_cycling		
TIGR03153	nrfH	DNRA	Nitrogen_cycling		
TIGR04315	otr	DNRA	Nitrogen_cycling		
PF07682	sor	Sulfur_oxidation	Sulfur_cycling		
TIGR04484	soxA	thiosulfate_oxidation	Sulfur_cycling		
TIGR01374	soxD	Sulfide_oxidation	Sulfur_cycling		
PF08770	soxZ	Sulfide_oxidation	Sulfur_cycling		
TIGR04486	soxB	thiosulfate_oxidation	Sulfur_cycling		
TIGR04485	soxX	thiosulfate_oxidation	Sulfur_cycling		
TIGR04488	soxY	thiosulfate_oxidation	Sulfur_cycling		
TIGR04555	soxC	thiosulfate_oxidation	Sulfur_cycling		
TIGR00339	sat	Sulfate_reduction	Sulfur_cycling		
TIGR02064	dsrA	Sulfite_reduction_to_sulfide_reversible	Sulfur_cycling		
TIGR02066	dsrB	Sulfite_reduction_to_sulfide_reversible	Sulfur_cycling		
PF08679	DsrD	Sulfite_reduction	Sulfur_cycling		
TIGR02061	aprA	Sulfite_oxidation_to_sulfate	Sulfur_cycling		
