"","H-soil","L-soil","C-soil","H2","L2","H1","L1","C","bins","taxa"
"Bin_10_16",0.000509592,0.002191045,0.00283579,0.005130956,0.067096351,0.003813236,0.027678077,0.027956829,"Bin_10_16","Alphaproteobacteria"
"Bin_10_1_1",0.000281854,0.001221755,0.001292377,0.008936225,0.035900113,0.004696721,0.083396368,0.072774983,"Bin_10_1_1","Alphaproteobacteria"
"Bin_10_36",0.000417144,0.004805872,0.003663283,0.006701408,0.025102775,0.008698055,0.115443385,0.017202374,"Bin_10_36","Gammaproteobacteria"
"Bin_11_2",7.67e-05,0.000175825,0.000362609,0.015325975,0.295027698,0.003713488,0.133061039,0.02813421,"Bin_11_2","Armatimonadota"
"Bin_11_4",3.61e-05,0.000153283,0.000297526,0.017864848,0.170530415,0.045302842,0.039463417,0.043645971,"Bin_11_4","Acidobacteriota"
"Bin_11_5",9.24e-05,0.000175825,0.000204549,0.062504924,0.114935946,0.013252278,0.070903696,0.017006705,"Bin_11_5","Nitrospirota"
"Bin_11_7",0.000133035,0.000265991,0.000483479,0.018757254,0.172034582,0.019268528,0.152982816,0.073918821,"Bin_11_7","Gammaproteobacteria"
"Bin_11_9",6.76e-05,0.000229924,0.000297526,0.026758505,0.129054886,0.005640056,0.093794574,0.110736508,"Bin_11_9","Acidobacteriota"
"Bin_12_12",0.000326951,0.00059059,0.001264484,2.075867666,0.144979071,0.191767593,0.005936084,0.014754688,"Bin_12_12","Verrucomicrobiota"
"Bin_12_13",0.000108232,0.000225416,0.000436991,0.31891741,0.041554759,0.042184995,0.000963581,0.000617179,"Bin_12_13","Verrucomicrobiota"
"Bin_12_2",0.000198425,0.000613132,0.000827493,0.887313294,0.040508912,0.108397937,0.026636138,0.004359568,"Bin_12_2","Alphaproteobacteria"
"Bin_12_3",0.00020068,0.000270499,0.000632242,0.5770691,0.167056446,0.211338216,0.003710317,0.000949998,"Bin_12_3","Gammaproteobacteria"
"Bin_12_6",0.000250286,0.00088814,0.001050637,0.645950092,0.091718866,0.244856506,0.010048776,0.009018125,"Bin_12_6","Verrucomicrobiota"
"Bin_12_8",0.000189406,0.000360666,0.000641539,0.713757763,0.043897555,0.266484794,0.026028341,0.00093994,"Bin_12_8","Alphaproteobacteria"
"Bin_13_1",0.000232248,0.000793465,0.000994851,0.00767895,0.108152566,0.003944334,0.217517346,0.137806428,"Bin_13_1","Actinobacteriota"
"Bin_13_10",0.000281854,0.000757398,0.000976256,0.002423331,0.055894326,0.001849619,0.12970227,0.023384219,"Bin_13_10","Actinobacteriota"
"Bin_13_3",0.000148819,0.002452527,0.000762409,0.003765742,0.082748713,0.002422459,0.147354866,0.121629029,"Bin_13_3","Methylomirabilota"
