ID	Name	Process	Cycle
PWY-6742	methane_oxidation_to_methanol_II	methane_oxidation	Carbon_cycling
PWYQT-4429	methane_oxidation_to_methanol_I	methane_oxidation	Carbon_cycling
PWY-6523	nitrite-dependent_anaerobic_methane_oxidation	methane_oxidation	Carbon_cycling
PWY-7750	carbon_monoxide_oxidation_to_CO2	Carbon_oxidation	Carbon_cycling
PWY-1881	formate_oxidation_to_CO2	Carbon_oxidation	Carbon_cycling
PWYQT-4429	CO2_fixation_into_oxaloacetate_anaplerotic	TCA_cycle	Carbon_cycling
CALVIN-PWY	Calvin-Benson-Bassham_cycle	Calvin_cycle	Carbon_cycling
PWY-5744	glyoxylate_assimilation	CO2_fixation	Carbon_cycling
PWY-7784	eductive_acetyl_coenzyme_A_pathway_II_(autotrophic_methanogens)	Methanogenesis	Carbon_cycling
P23-PWY	reductive_TCA_cycle_I	TCA_cycle	Carbon_cycling
PWY-5392	reductive_TCA_cycle_II	TCA_cycle	Carbon_cycling
P23-PWY	reductive_TCAcycle_I	TCA_cycle	Carbon_cycling
METH-ACETATE-PWY	methanogenesis_from_acetate	Methanogenesis	Carbon_cycling
PWY-5248	methanogenesis_from_dimethylamine	Methanogenesis	Carbon_cycling
PWY-5258	methanogenesis_from_dimethylsulfide	Methanogenesis	Carbon_cycling
PWY-5259	methanogenesis_from_methanethiol	Methanogenesis	Carbon_cycling
PWY-5247	methanogenesis_from_methylamine	Methanogenesis	Carbon_cycling
PWY-5209	methyl-coenzyme_M_oxidation_to_CO2	Methanogenesis	Carbon_cycling
PWY-5261	methanogenesis_from_tetramethylammonium	Methanogenesis	Carbon_cycling
METHANOGENESIS-PWY	methanogenesis_from_H2_and_CO2	Methanogenesis	Carbon_cycling
METHFORM-PWY	methyl-coenzyme_M_reduction_to_methane	Methane_production	Carbon_cycling
PWY-7246	pectin_degradation_I	Polysaccharide_Degradation	Carbon_cycling
PWY-6805	cellulose_degradation_I_(cellulosome)	Polysaccharide_Degradation	Carbon_cycling
PWY-6789	(1,3)-β-D-xylan_degradation	Polysaccharide_Degradation	Carbon_cycling
PWY-6717	(1,4)-β-D-xylan_degradation	Polysaccharide_Degradation	Carbon_cycling
GLYCOCAT-PWY	glycogen_degradation_I	Polysaccharide_Degradation	Carbon_cycling
PWY-6855	chitin_degradation_I_(archaea)	Polysaccharide_Degradation	Carbon_cycling
PWY-7822	chitin_degradation_III_(Serratia)	Polysaccharide_Degradation	Carbon_cycling
PWY-6902	chitin_degradation_II_(Vibrio)	Polysaccharide_Degradation	Carbon_cycling
PWY-6791	xyloglucan_degradation_I_(endoglucanase)	Polysaccharide_Degradation	Carbon_cycling
GLYCOLYSIS	glycolysis_I_(from_glucose_6-phosphate)	glycolysis	Carbon_cycling
ANAGLYCOLYSIS-PWY	glycolysis_III_(from_glucose)	glycolysis	Carbon_cycling
PWY-5484	glycolysis_II_(from_fructose_6-phosphate)	glycolysis	Carbon_cycling
P341-PWY	glycolysis_V_(Pyrococcus_Archaea)	glycolysis	Carbon_cycling
PWY-6583	pyruvate_fermentation_to_butanol_I	fermentation	Carbon_cycling
PWY-5096	pyruvate_fermentation_to_acetate_and_alanine	fermentation	Carbon_cycling
CENTFERM-PWY	pyruvate_fermentation_to_butanoate	fermentation	Carbon_cycling
PWY-6130	glycerol_degradation_III	fermentation	Carbon_cycling
PWY-7003	glycerol_degradation_to_butanol	fermentation	Carbon_cycling
GLUCONEO-PWY	gluconeogenesis_I	gluconeogenesis	Carbon_cycling
PWY-6142	gluconeogenesis_II_(Methanobacterium_thermoautotrophicum)	gluconeogenesis	Carbon_cycling
PWY66-399	gluconeogenesis_III	gluconeogenesis	Carbon_cycling
BENZCOA-PWY	anaerobic_aromatic_compound_degradation_(Thauera_aromatica)	Aromatic_compound_degradation	Degradation
PWY-6941	styrene_degradation	Aromatic_compound_degradation	Degradation
PWY-5450	benzene_degradation	Aromatic_compound_degradation	Degradation
PWY-6956	naphthalene_degradation_to_acetyl-CoA	Aromatic_compound_degradation	Degradation
PWY-1381	fluorene_degradation_II	Aromatic_compound_degradation	Degradation
PWY5F9-12	biphenyl_degradation	Aromatic_compound_degradation	Degradation
PWY-142	m-xylene_degradation_(anaerobic)	Aromatic_compound_degradation	Degradation
PWY-7576	nitrogen_fixation_II	N_fixation	Nitrogen_cycling
N2FIX-PWY	nitrogen_fixation_I	N_fixation	Nitrogen_cycling
DENITRIFICATION-PWY	nitrate_reduction_I_(denitrification)	nitrate_reduction	Nitrogen_cycling
PWY-381	nitrate_reduction_II_(assimilatory)	nitrate_reduction	Nitrogen_cycling
PWY0-1321	nitrate_reduction_III_(dissimilatory)	DNRA	Nitrogen_cycling
PWY-5674	nitrate_reduction_IV_(dissimilatory)	DNRA	Nitrogen_cycling
PWY-5675	nitrate_reduction_V_(assimilatory)	nitrate_reduction	Nitrogen_cycling
PWY490-3	nitrate_reduction_VI_(assimilatory)	nitrate_reduction	Nitrogen_cycling
PWY-6748	nitrate_reduction_VII	nitrate_reduction	Nitrogen_cycling
PWY0-1352	nitrate_reduction_VIII_(dissimilatory)	DNRA	Nitrogen_cycling
PWY0-1581	nitrate_reduction_IX_(dissimilatory)	DNRA	Nitrogen_cycling
PWY0-1584	nitrate_reduction_X_(dissimilatory,_periplasmic)	DNRA	Nitrogen_cycling
P303-PWY	ammonia_oxidation_II_(anaerobic)	annamox	Nitrogen_cycling
PWY-7084	nitrifier_denitrification	annamox	Nitrogen_cycling
PWY-2242	ammonia_oxidation_III	annamox	Nitrogen_cycling
AMMOXID-PWY	ammonia_oxidation_I_(aerobic)	annamox	Nitrogen_cycling
PWY-7082	ammonia_oxidation_IV_(autotrophic_ammonia_oxidizers)	annamox	Nitrogen_cycling
PWY-6963	ammonia_assimilation_cycle_I	ammonia_assimilation	Nitrogen_cycling
PWY-6964	ammonia_assimilation_cycle_II	ammonia_assimilation	Nitrogen_cycling
AMMASSIM-PWY	ammonia_assimilation_cycle_III	ammonia_assimilation	Nitrogen_cycling
PWY-5332	sulfur_reduction_I	Sulfur_reduction	Sulfur_cycling
PWY-5364	sulfur_reduction_II	Sulfur_reduction	Sulfur_cycling
PWY-7976	sulfur_reduction_III	Sulfur_reduction	Sulfur_cycling
PWY-6675	sulfur_oxidation_IV	Sulfur_oxidation	Sulfur_cycling
SULFUROX-PWY	_sulfur_oxidation_I_(aerobic)	Sulfur_oxidation	Sulfur_cycling
FESULFOX-PWY	sulfur_oxidation_II	Sulfur_oxidation	Sulfur_cycling
PWY-5296	thiosulfate_oxidation_III	thiosulfate_oxidation	Sulfur_cycling
PWY-5303	thiosulfate_oxidation_II	thiosulfate_oxidation	Sulfur_cycling
THIOSULFOX-PWY	thiosulfate_oxidation_I	thiosulfate_oxidation	Sulfur_cycling
PWY-6677	thiosulfate_oxidation_IV	thiosulfate_oxidation	Sulfur_cycling
DISSULFRED-PWY	dissimilatory_sulfate_reduction_I	Sulfate_reduction	Sulfur_cycling
P224-PWY	dissimilatory_sulfate_reduction_II	Sulfate_reduction	Sulfur_cycling
PWY-6683	assimilatory_sulfate_reduction_III	Sulfate_reduction	Sulfur_cycling
SO4ASSIM-PWY	assimilatory_sulfate_reduction_I	Sulfate_reduction	Sulfur_cycling
SULFMETII-PWY	assimilatory_sulfate_reduction_II	Sulfate_reduction	Sulfur_cycling
PWY-5326	sulfite_oxidation_IV	Sulfite_oxidation_to_sulfate	Sulfur_cycling
PWY-5279	sulfite_oxidation_II	Sulfite_oxidation_to_sulfate	Sulfur_cycling
PWY-5276	sulfite_oxidation_I	Sulfite_oxidation_to_sulfate	Sulfur_cycling
PWY-5278	sulfite_oxidation_III	Sulfite_oxidation_to_sulfate	Sulfur_cycling
PWY-6676	superpathway_of_sulfide_oxidation_(phototrophic_sulfur_bacteria)	Sulfide_oxidation	Sulfur_cycling
PWY-5294	superpathway_of_sulfide_oxidation_(Acidithiobacillus_ferrooxidans)	Sulfide_oxidation	Sulfur_cycling
P222-PWY	sulfide_oxidation_I_(sulfide-quinone_reductase)	Sulfide_oxidation	Sulfur_cycling
PWY-5274	sulfide_oxidation_II	Sulfide_oxidation	Sulfur_cycling
PWY-5285	sulfide_oxidation_III	Sulfide_oxidation	Sulfur_cycling
P203-PWY	sulfur_disproportionation_I	sulfur_oxidation	Sulfur_cycling
PWY-5302	sulfur_disproportionation_II	sulfur_oxidation	Sulfur_cycling
