Bin name,Completeness (from MaxBin),Genome size,GC content
maxbin2_unbinned_contigs.457.fasta,79.40%,3540762,43.4
maxbin2_unbinned_contigs.209.fasta,72%,5582664,67.2
maxbin2_unbinned_contigs.392.fasta,72%,6451859,60.6
maxbin2_unbinned_contigs.434.fasta,71%,5026833,51.1
maxbin2_unbinned_contigs.456.fasta,71%,4738491,39.4
maxbin2_unbinned_contigs.359.fasta,70.10%,4867172,42.3
maxbin2_unbinned_contigs.446.fasta,69.20%,3058402,43.2
maxbin2_unbinned_contigs.226.fasta,68.20%,5834452,49.9
maxbin2_unbinned_contigs.075.fasta,67.30%,3814709,65.8
maxbin2_unbinned_contigs.290.fasta,67.30%,8151404,68.6
maxbin2_unbinned_contigs.266.fasta,66.40%,6850042,65
maxbin2_unbinned_contigs.213.fasta,65.40%,2779219,65.4
maxbin2_unbinned_contigs.239.fasta,65.40%,5233738,63.4
maxbin2_unbinned_contigs.250.fasta,65.40%,4975626,61.5
maxbin2_unbinned_contigs.092.fasta,64.50%,5092912,45.1
maxbin2_unbinned_contigs.178.fasta,64.50%,7781119,66.9
maxbin2_unbinned_contigs.199.fasta,64.50%,3049112,61.9
maxbin2_unbinned_contigs.231.fasta,64.50%,3339776,63.8
maxbin2_unbinned_contigs.270.fasta,64.50%,6998022,67.1
maxbin2_unbinned_contigs.379.fasta,64.50%,6198046,59.4
maxbin2_unbinned_contigs.299.fasta,63.60%,6408166,68.3
maxbin2_unbinned_contigs.360.fasta,63.60%,4998741,53
maxbin2_unbinned_contigs.438.fasta,63.60%,4947937,51.3
maxbin2_unbinned_contigs.136.fasta,62.60%,2009508,68.7
maxbin2_unbinned_contigs.173.fasta,62.60%,4972438,57.6
maxbin2_unbinned_contigs.326.fasta,62.60%,6911509,61.8
maxbin2_unbinned_contigs.330.fasta,62.60%,3039280,63.9
maxbin2_unbinned_contigs.339.fasta,62.60%,2383546,61.4
maxbin2_unbinned_contigs.380.fasta,62.60%,5925920,60.4
maxbin2_unbinned_contigs.013.fasta,61.70%,1640878,63.9
maxbin2_unbinned_contigs.032.fasta,61.70%,1529641,66
maxbin2_unbinned_contigs.128.fasta,61.70%,3811722,55.1
maxbin2_unbinned_contigs.158.fasta,61.70%,4353970,54.2
maxbin2_unbinned_contigs.203.fasta,61.70%,1389296,63.2
maxbin2_unbinned_contigs.354.fasta,61.70%,4440267,66.8
maxbin2_unbinned_contigs.424.fasta,61.70%,4084640,53.9
maxbin2_unbinned_contigs.452.fasta,61.70%,4711038,49.5
maxbin2_unbinned_contigs.296.fasta,60.70%,7105411,67.4
maxbin2_unbinned_contigs.331.fasta,60.70%,3124688,66.6
maxbin2_unbinned_contigs.377.fasta,60.70%,3888859,39.3
maxbin2_unbinned_contigs.423.fasta,60.70%,3411543,53.9
maxbin2_unbinned_contigs.462.fasta,60.70%,2686058,49.7
maxbin2_unbinned_contigs.285.fasta,59.80%,7665614,64
maxbin2_unbinned_contigs.349.fasta,59.80%,3298790,37.9
maxbin2_unbinned_contigs.194.fasta,58.90%,3226326,65.5
maxbin2_unbinned_contigs.195.fasta,58.90%,2421357,65.7
maxbin2_unbinned_contigs.256.fasta,58.90%,3481288,65.9
maxbin2_unbinned_contigs.294.fasta,58.90%,7659109,66.4
maxbin2_unbinned_contigs.347.fasta,58.90%,3582046,63.2
maxbin2_unbinned_contigs.355.fasta,58.90%,6053703,63.1
maxbin2_unbinned_contigs.401.fasta,58.90%,5718346,57.4
maxbin2_unbinned_contigs.427.fasta,58.90%,1225841,51
maxbin2_unbinned_contigs.442.fasta,58.90%,1969435,44
maxbin2_unbinned_contigs.295.fasta,57.90%,5015982,64.2
maxbin2_unbinned_contigs.382.fasta,57.90%,6374820,57.2
maxbin2_unbinned_contigs.062.fasta,57%,6587828,72
maxbin2_unbinned_contigs.137.fasta,57%,2249745,65.8
maxbin2_unbinned_contigs.162.fasta,57%,7252239,62.8
maxbin2_unbinned_contigs.312.fasta,57%,6158897,66.7
maxbin2_unbinned_contigs.437.fasta,57%,4370675,51.9
maxbin2_unbinned_contigs.089.fasta,56.10%,7308589,71.5
maxbin2_unbinned_contigs.233.fasta,56.10%,3508041,68.9
maxbin2_unbinned_contigs.298.fasta,56.10%,3796648,60.4
maxbin2_unbinned_contigs.381.fasta,56.10%,2743029,46.6
maxbin2_unbinned_contigs.396.fasta,56.10%,6628450,57.5
maxbin2_unbinned_contigs.464.fasta,56.10%,2561687,42.3
maxbin2_unbinned_contigs.038.fasta,55.10%,1998864,69.5
maxbin2_unbinned_contigs.060.fasta,55.10%,5953336,69.1
maxbin2_unbinned_contigs.102.fasta,55.10%,5413967,60
maxbin2_unbinned_contigs.208.fasta,55.10%,7933613,63.4
maxbin2_unbinned_contigs.308.fasta,55.10%,4887061,64.2
maxbin2_unbinned_contigs.317.fasta,55.10%,6560552,66.1
maxbin2_unbinned_contigs.343.fasta,55.10%,6363886,62.7
maxbin2_unbinned_contigs.365.fasta,55.10%,3678359,61.5
maxbin2_unbinned_contigs.369.fasta,55.10%,7478926,59.8
maxbin2_unbinned_contigs.431.fasta,55.10%,2645391,51.4
maxbin2_unbinned_contigs.454.fasta,55.10%,2333302,48.5
maxbin2_unbinned_contigs.029.fasta,54.20%,2815380,64.1
maxbin2_unbinned_contigs.036.fasta,54.20%,2090756,68
maxbin2_unbinned_contigs.212.fasta,54.20%,3094322,56.5
maxbin2_unbinned_contigs.222.fasta,54.20%,6908874,69.7
maxbin2_unbinned_contigs.340.fasta,54.20%,7519104,64.7
maxbin2_unbinned_contigs.402.fasta,54.20%,2147712,40.2
maxbin2_unbinned_contigs.412.fasta,54.20%,3025846,56.4
maxbin2_unbinned_contigs.414.fasta,54.20%,4435420,56.2
maxbin2_unbinned_contigs.419.fasta,54.20%,5442322,60.3
maxbin2_unbinned_contigs.439.fasta,54.20%,3106139,32.7
maxbin2_unbinned_contigs.455.fasta,54.20%,6690175,47.2
maxbin2_unbinned_contigs.007.fasta,53.30%,1632603,64.4
maxbin2_unbinned_contigs.087.fasta,53.30%,3937503,37.6
maxbin2_unbinned_contigs.230.fasta,53.30%,2568731,61.3
maxbin2_unbinned_contigs.268.fasta,53.30%,2623889,66.1
maxbin2_unbinned_contigs.274.fasta,53.30%,1262684,64.5
maxbin2_unbinned_contigs.390.fasta,53.30%,2677656,61.5
maxbin2_unbinned_contigs.394.fasta,53.30%,3896374,37.6
maxbin2_unbinned_contigs.072.fasta,52.30%,2836333,68.7
maxbin2_unbinned_contigs.190.fasta,52.30%,2936802,42
maxbin2_unbinned_contigs.348.fasta,52.30%,3117862,61.1
maxbin2_unbinned_contigs.362.fasta,52.30%,4716553,64.5
maxbin2_unbinned_contigs.443.fasta,52.30%,2174885,50.6
maxbin2_unbinned_contigs.335.fasta,51.40%,6411839,66
maxbin2_unbinned_contigs.406.fasta,51.40%,5855907,56
maxbin2_unbinned_contigs.477.fasta,51.40%,2539897,44.6
maxbin2_unbinned_contigs.006.fasta,50.50%,1188713,69.1
maxbin2_unbinned_contigs.247.fasta,50.50%,5321420,66.6
maxbin2_unbinned_contigs.279.fasta,50.50%,7452618,68.4
maxbin2_unbinned_contigs.307.fasta,50.50%,7893123,69.6
maxbin2_unbinned_contigs.345.fasta,50.50%,3477263,66
maxbin2_unbinned_contigs.361.fasta,50.50%,6098490,61.2
maxbin2_unbinned_contigs.385.fasta,50.50%,5094358,60.9
maxbin2_unbinned_contigs.391.fasta,50.50%,1749134,55.6
maxbin2_unbinned_contigs.020.fasta,49.50%,2786370,71.5
maxbin2_unbinned_contigs.063.fasta,49.50%,7225040,66
maxbin2_unbinned_contigs.223.fasta,49.50%,1848161,64.3
maxbin2_unbinned_contigs.300.fasta,49.50%,4596207,63.6
maxbin2_unbinned_contigs.337.fasta,49.50%,5397289,53.6
maxbin2_unbinned_contigs.356.fasta,49.50%,5675018,69.5
maxbin2_unbinned_contigs.371.fasta,49.50%,3335165,66.2
maxbin2_unbinned_contigs.389.fasta,49.50%,2980167,57.8
maxbin2_unbinned_contigs.393.fasta,49.50%,2986804,58.2
maxbin2_unbinned_contigs.417.fasta,49.50%,2446274,55.4
maxbin2_unbinned_contigs.094.fasta,48.60%,5858418,53.9
maxbin2_unbinned_contigs.167.fasta,48.60%,1524595,63.3
maxbin2_unbinned_contigs.192.fasta,48.60%,1810308,67.5
maxbin2_unbinned_contigs.204.fasta,48.60%,979373,63
maxbin2_unbinned_contigs.205.fasta,48.60%,2996668,38.5
maxbin2_unbinned_contigs.303.fasta,48.60%,3201851,60.1
maxbin2_unbinned_contigs.332.fasta,48.60%,5135851,63.4
maxbin2_unbinned_contigs.333.fasta,48.60%,5737467,63
maxbin2_unbinned_contigs.448.fasta,48.60%,1759517,49
maxbin2_unbinned_contigs.043.fasta,47.70%,668964,63.4
maxbin2_unbinned_contigs.088.fasta,47.70%,5908202,59
maxbin2_unbinned_contigs.351.fasta,47.70%,3467416,55.8
maxbin2_unbinned_contigs.375.fasta,47.70%,3015885,58.8
maxbin2_unbinned_contigs.376.fasta,47.70%,5426142,56.1
maxbin2_unbinned_contigs.422.fasta,47.70%,1535379,50.8
maxbin2_unbinned_contigs.470.fasta,47.70%,2971813,45.7
maxbin2_unbinned_contigs.051.fasta,46.70%,1558196,71.9
maxbin2_unbinned_contigs.055.fasta,46.70%,4587784,66.4
maxbin2_unbinned_contigs.093.fasta,46.70%,1575971,69.8
maxbin2_unbinned_contigs.099.fasta,46.70%,2194972,45.9
maxbin2_unbinned_contigs.107.fasta,46.70%,1666523,70.1
maxbin2_unbinned_contigs.141.fasta,46.70%,7794871,72.8
maxbin2_unbinned_contigs.145.fasta,46.70%,3637947,72.1
maxbin2_unbinned_contigs.165.fasta,46.70%,1904268,64
maxbin2_unbinned_contigs.228.fasta,46.70%,1347869,64.5
maxbin2_unbinned_contigs.229.fasta,46.70%,2541865,66.8
maxbin2_unbinned_contigs.284.fasta,46.70%,2919792,61.1
maxbin2_unbinned_contigs.350.fasta,46.70%,3279211,63.2
maxbin2_unbinned_contigs.435.fasta,46.70%,3412114,54.1
maxbin2_unbinned_contigs.078.fasta,45.80%,3751373,67.3
maxbin2_unbinned_contigs.138.fasta,45.80%,995608,63.4
maxbin2_unbinned_contigs.240.fasta,45.80%,2333210,57.6
maxbin2_unbinned_contigs.243.fasta,45.80%,3430594,55.2
maxbin2_unbinned_contigs.287.fasta,45.80%,6985119,70.2
maxbin2_unbinned_contigs.395.fasta,45.80%,6823608,61.7
maxbin2_unbinned_contigs.418.fasta,45.80%,4816487,52.9
maxbin2_unbinned_contigs.469.fasta,45.80%,4250242,42.6
maxbin2_unbinned_contigs.014.fasta,44.90%,4197338,73.7
maxbin2_unbinned_contigs.079.fasta,44.90%,3751245,65.2
maxbin2_unbinned_contigs.148.fasta,44.90%,3910801,69.3
maxbin2_unbinned_contigs.168.fasta,44.90%,5939980,69.3
maxbin2_unbinned_contigs.238.fasta,44.90%,3165633,55.3
maxbin2_unbinned_contigs.325.fasta,44.90%,3748523,63.1
maxbin2_unbinned_contigs.398.fasta,44.90%,4860064,60.2
maxbin2_unbinned_contigs.441.fasta,44.90%,3138327,43.5
maxbin2_unbinned_contigs.011.fasta,43.90%,2447325,66.7
maxbin2_unbinned_contigs.049.fasta,43.90%,913231,68.2
maxbin2_unbinned_contigs.112.fasta,43.90%,1145885,64.5
maxbin2_unbinned_contigs.116.fasta,43.90%,2363148,67.8
maxbin2_unbinned_contigs.179.fasta,43.90%,962149,56.6
maxbin2_unbinned_contigs.211.fasta,43.90%,3140275,64
maxbin2_unbinned_contigs.224.fasta,43.90%,3569170,57.7
maxbin2_unbinned_contigs.260.fasta,43.90%,4148407,67.2
maxbin2_unbinned_contigs.273.fasta,43.90%,4495845,69
maxbin2_unbinned_contigs.282.fasta,43.90%,3481486,63.7
maxbin2_unbinned_contigs.320.fasta,43.90%,2946326,68.9
maxbin2_unbinned_contigs.473.fasta,43.90%,1412433,43.1
maxbin2_unbinned_contigs.035.fasta,43%,2337460,65.3
maxbin2_unbinned_contigs.069.fasta,43%,3519437,68.2
maxbin2_unbinned_contigs.074.fasta,43%,4504747,63.4
maxbin2_unbinned_contigs.110.fasta,43%,4459358,33
maxbin2_unbinned_contigs.161.fasta,43%,3304441,68.4
maxbin2_unbinned_contigs.262.fasta,43%,3267218,65.1
maxbin2_unbinned_contigs.276.fasta,43%,4986409,65.9
maxbin2_unbinned_contigs.334.fasta,43%,4706985,66.8
maxbin2_unbinned_contigs.342.fasta,43%,4871478,68
maxbin2_unbinned_contigs.084.fasta,42.10%,850869,72.4
maxbin2_unbinned_contigs.125.fasta,42.10%,825002,66.2
maxbin2_unbinned_contigs.154.fasta,42.10%,2589916,57.7
maxbin2_unbinned_contigs.180.fasta,42.10%,1326450,66
maxbin2_unbinned_contigs.297.fasta,42.10%,3271240,62.2
maxbin2_unbinned_contigs.328.fasta,42.10%,2930025,65.1
maxbin2_unbinned_contigs.405.fasta,42.10%,3118898,56.5
maxbin2_unbinned_contigs.021.fasta,41.10%,500219,68.3
maxbin2_unbinned_contigs.023.fasta,41.10%,3467647,68
maxbin2_unbinned_contigs.028.fasta,41.10%,1950779,71.4
maxbin2_unbinned_contigs.033.fasta,41.10%,583644,67.1
maxbin2_unbinned_contigs.085.fasta,41.10%,3608643,68.5
maxbin2_unbinned_contigs.151.fasta,41.10%,3312815,67.1
maxbin2_unbinned_contigs.160.fasta,41.10%,1127989,58.2
maxbin2_unbinned_contigs.215.fasta,41.10%,3550856,56.7
maxbin2_unbinned_contigs.220.fasta,41.10%,782523,66.6
maxbin2_unbinned_contigs.242.fasta,41.10%,840322,57.2
maxbin2_unbinned_contigs.251.fasta,41.10%,4251621,67.1
maxbin2_unbinned_contigs.264.fasta,41.10%,5455783,69.2
maxbin2_unbinned_contigs.301.fasta,41.10%,7593941,65.5
maxbin2_unbinned_contigs.310.fasta,41.10%,2378570,65.2
maxbin2_unbinned_contigs.370.fasta,41.10%,7398367,59.8
maxbin2_unbinned_contigs.479.fasta,41.10%,1199261,35.6
maxbin2_unbinned_contigs.003.fasta,40.20%,2040626,59.7
maxbin2_unbinned_contigs.030.fasta,40.20%,1237266,62.6
maxbin2_unbinned_contigs.042.fasta,40.20%,548288,69.8
maxbin2_unbinned_contigs.115.fasta,40.20%,802346,67.4
maxbin2_unbinned_contigs.156.fasta,40.20%,458426,64.2
maxbin2_unbinned_contigs.267.fasta,40.20%,3839963,57.6
maxbin2_unbinned_contigs.281.fasta,40.20%,7658064,70.4
maxbin2_unbinned_contigs.304.fasta,40.20%,5411024,63.9
maxbin2_unbinned_contigs.319.fasta,40.20%,6168805,64
maxbin2_unbinned_contigs.472.fasta,40.20%,2124764,35.9
maxbin2_unbinned_contigs.096.fasta,39.30%,4052215,39.8
maxbin2_unbinned_contigs.106.fasta,39.30%,600591,69.3
maxbin2_unbinned_contigs.368.fasta,39.30%,5692091,64.8
maxbin2_unbinned_contigs.447.fasta,39.30%,1251955,35.6
maxbin2_unbinned_contigs.453.fasta,39.30%,2635112,38.9
